Start Time,09/07/2017 11:50,End Time,09/07/2017  17:00:00 PM,,,,,,where are these?,,,,,,,Interval,,,,,
,PIC401/PID1/OUT.CV,PIC401/PID1/PV.CV,PIC403/PID1/OUT.CV,PIC403/PID1/PV.CV,LI405/OUT.CV,LIC402/PID1/OUT.CV,LIC402/PID1/PV.CV,PIC501/PID1/PV.CV,LVC502-SR/PID1/PV.CV,LIC507/PID1/OUT.CV,LIC507/PID1/PV.CV,LI505/OUT.CV,LVC504/PID1/OUT.CV,LVC504/PID1/PV.CV,LI101/OUT.CV,LI201/OUT.CV,LI504/OUT.CV,TT313/OUT.CV,PUMP1_SUPPORT/CURRENT.CV,PUMP1_SUPPORT/MOTOR_SPEED.CV,PUMP1_SUPPORT/FREQ_SETPOINT.CV
TIMESTAMP,Outlet gas flow 2-phase,,Inlet flow 2-phase,,2-phase liquid level,Outlet liquid flow 2-phase,,,,Outlet oil CW,,,,,,,,,,,
42985.49306,100,1.014729977,23,-0.000352265,-0.026745711,100,-0.018579829,0.996919215,62.18719101,0,98.66642761,-1.25553,0.000798886,-1.25553,1.422847986,1.26740098,-1.28876698,0,2.339999914,1475,30
42985.49307,100,1.014915943,23,-0.00035228,-0.026915099,100,-0.01869256,0.997456074,62.20578003,0,98.66655731,-1.25553,0.000602722,-1.25553,1.422865033,1.267071962,-1.28876698,0,2.375,1475,30
42985.49308,100,1.015102029,23,-0.000352295,-0.0270845,100,-0.018805301,0.997456074,62.22438049,0,98.66668701,-1.25553,0.000587463,-1.25553,1.422881961,1.266742945,-1.28876698,0,2.410000086,1475,30
42985.49309,100,1.015287995,23,-0.00035231,-0.02725389,100,-0.018918039,0.997456074,62.1075592,0,98.66681671,-1.25553,0.000572205,-1.25553,1.422899008,1.266414046,-1.28876698,0,2.420000076,1475,30
42985.4931,100,1.015473962,23,-0.000352325,-0.0273488,100,-0.01903078,0.997456074,62.17670059,0,98.66694641,-1.25553,0.000556946,-1.25553,1.422916055,1.270455956,-1.28876698,0,1.99000001,1475,30
42985.49311,100,1.015658975,23,-0.00035234,-0.027443711,100,-0.019143511,0.997456074,62.24583817,0,98.66708374,-1.25553,0.000541687,-1.25553,1.422932982,1.280701041,-1.28876698,0,2.349999905,1475,30
42985.49313,100,1.015844941,23,-0.000352355,-0.027538629,100,-0.019256249,0.997456074,62.31497955,0,98.66722107,-1.25553,0.000526428,-1.25553,1.422950983,1.28746295,-1.28876698,0,1.889999986,1475,30
42985.49314,100,1.016031027,23,-0.00035237,-0.02763354,100,-0.019368989,0.998152614,62.24225998,0,98.66735077,-1.25553,0.000514818,-1.25553,1.42296803,1.287176013,-1.28876698,0,2.430000067,1475,30
42985.49315,100,1.016649961,23,-0.000352385,-0.02772845,100,-0.01948172,0.998655677,62.16954041,0,98.66748047,-1.25553,0.000503208,-1.25553,1.422984958,1.286888957,-1.28876698,0,1.970000029,1475,30
42985.49316,100,1.017269015,23,-0.0003524,-0.027823361,100,-0.019594461,0.99915868,62.22676086,0,98.6676178,-1.25553,0.000491598,-1.25553,1.423002005,1.28660202,-1.28876698,0,2.130000114,1475,30
42985.49317,100,1.017889023,23,-0.000352415,-0.027918279,100,-0.019707199,0.999661803,62.28398895,0,98.6677475,-1.25553,0.000479988,-1.25553,1.423019052,1.286314964,-1.28876698,0,2.339999914,1475,30
42985.49318,100,1.018507957,23,-0.00035243,-0.02801319,100,-0.01981993,1.000164986,62.34120941,0,98.6678772,-1.25553,0.000468379,-1.25553,1.423035979,1.286028028,-1.28876698,0,2.359999895,1475,30
